dégâts;tempête;dégâts de la tempête
retards;circulation;retards de la circulation
fumée;incendie;fumée de l'incendie
cendre;volcan;cendre du volcan
inondation;pluie;inondation de la pluie
fatigue;voyage;fatigue du voyage
courbatures;sport;courbatures du sport
stress;examen;stress de l'examen
joie;victoire;joie de la victoire
tristesse;défaite;tristesse de la défaite
peur;danger;peur du danger
cicatrice;blessure;cicatrice de la blessure
ruines;guerre;ruines de la guerre
bruit;explosion;bruit de l'explosion
chaleur;été;chaleur de l'été
froid;hiver;froid de l'hiver
succès;effort;succès de l'effort
échec;négligence;échec de la négligence
rançon;gloire;rançon de la gloire
fruit;hasard;fruit du hasard
résultat;match;résultat du match
impact;choc;impact du choc
trace;pas;trace de pas
empreinte;doigt;empreinte de doigt
écho;montagne;écho de la montagne
ombre;mur;ombre du mur
douleur;coup;douleur du coup
fièvre;infection;fièvre de l'infection
rougeur;frottement;rougeur du frottement
vertige;hauteur;vertige de la hauteur
ivresse;alcool;ivresse de l'alcool
nausée;houle;nausée de la houle
morsure;froid;morsure du froid
brûlure;soleil;brûlure du soleil
insolation;canicule;insolation de la canicule
débris;accident;débris de l'accident
poussière;travaux;poussière des travaux
vapeur;douche;vapeur de la douche
odeur;brûlé;odeur de brûlé
effets;médicament;effets du médicament
bienfaits;repos;bienfaits du repos
méfaits;tabac;méfaits du tabac
montée;eaux;montée des eaux
fonte;neiges;fonte des neiges
réchauffement;climat;réchauffement du climat
chômage;crise;chômage de la crise
famine;sécheresse;famine de la sécheresse
soif;désert;soif du désert
sommeil;épuisement;sommeil de l'épuisement
sueur;front;sueur du front
larmes;joie;larmes de joie
cri;douleur;cri de douleur
soupir;soulagement;soupir de soulagement
frisson;peur;frisson de peur
tremblement;froid;tremblement de froid
rougissement;honte;rougissement de honte
pâleur;effroi;pâleur de l'effroi
sourire;bonheur;sourire du bonheur
rire;farce;rire de la farce
applaudissements;public;applaudissements du public
huées;foule;huées de la foule
félicitations;jury;félicitations du jury
blâme;conseil;blâme du conseil
punition;crime;punition du crime
récompense;mérite;récompense du mérite
salaire;peur;salaire de la peur
coût;vie;coût de la vie
prix;liberté;prix de la liberté
rides;âge;rides de l'âge
usure;temps;usure du temps
érosion;vent;érosion du vent
rouille;fer;rouille du fer
moisissure;humidité;moisissure de l'humidité
gueule;bois;gueule de bois
restes;dîner;restes du dîner
vestiges;passé;vestiges du passé
survivants;catastrophe;survivants de la catastrophe
orphelins;guerre;orphelins de la guerre
héritage;ancêtres;héritage des ancêtres
leçons;histoire;leçons de l'histoire
bleu;choc;bleu du choc
bosse;coup;bosse du coup
égratignure;chute;égratignure de la chute
coupure;rasoir;coupure du rasoir
ampoule;marche;ampoule de la marche
cor;chaussure;cor de la chaussure
carie;sucre;carie du sucre
indigestion;repas;indigestion du repas
intoxication;fruit;intoxication du fruit
allergie;pollen;allergie du pollen
bouton;acné;bouton d'acné
rougeur;ortie;rougeur de l'ortie
démangeaison;piqûre;démangeaison de la piqûre
enflure;venin;enflure du venin
toux;froid;toux du froid
rhume;courant d'air;rhume du courant d'air
angine;virus;angine du virus
grippe;épidémie;grippe de l'épidémie
fièvre;maladie;fièvre de la maladie
frisson;fièvre;frisson de la fièvre
sueur;effort;sueur de l'effort
transpiration;chaleur;transpiration de la chaleur
odeur;transpiration;odeur de transpiration
mauvaise haleine;ail;mauvaise haleine de l'ail
tache;soleil;tache du soleil
ride;expression;ride d'expression
cerne;insomnie;cerne de l'insomnie
poche;fatigue;poche de la fatigue
calvitie;âge;calvitie de l'âge
cheveu blanc;souci;cheveu blanc du souci
dent;sagesse;dent de sagesse
surdité;bruit;surdité du bruit
acouphène;concert;acouphène du concert
myopie;écran;myopie de l'écran
fatigue;lecture;fatigue de la lecture
crampe;nage;crampe de la nage
point de côté;course;point de côté de la course
entorse;faux pas;entorse du faux pas
fracture;accident;fracture de l'accident
fêlure;os;fêlure de l'os
luxation;épaule;luxation de l'épaule
commotion;choc;commotion du choc
traumatisme;guerre;traumatisme de la guerre
cicatrice;césarienne;cicatrice de la césarienne
trace;brûlure;trace de brûlure
cloque;frottement;cloque du frottement
gerçure;vent;gerçure du vent
crevasse;froid;crevasse du froid
engelure;neige;engelure de la neige
chair de poule;froid;chair de poule du froid
hoquet;repas;hoquet du repas
rot;boisson;rot de la boisson
gaz;digestion;gaz de la digestion
ballonnement;fermentation;ballonnement de la fermentation
nausée;tournis;nausée du tournis
vomissement;alcool;vomissement de l'alcool
gueule de bois;fête;gueule de bois de la fête
migraine;stress;migraine du stress
maux de tête;bruit;maux de tête du bruit
vertige;vide;vertige du vide
étourdissement;chaleur;étourdissement de la chaleur
évanouissement;émotion;évanouissement de l'émotion
malaise;foule;malaise de la foule
syncope;peur;syncope de la peur
crise;asthme;crise d'asthme
étouffement;fumée;étouffement de la fumée
asphyxie;gaz;asphyxie du gaz
noyade;inondation;noyade de l'inondation
électrocution;fil;électrocution du fil
brûlure;acide;brûlure de l'acide
irritation;savon;irritation du savon
eczéma;stress;eczéma du stress
psoriasis;anxiété;psoriasis de l'anxiété
verrue;piscine;verrue de la piscine
mycose;humidité;mycose de l'humidité
infection;plaie;infection de la plaie
pus;infection;pus de l'infection
croûte;blessure;croûte de la blessure
gangrène;blessure;gangrène de la blessure
tétanos;rouille;tétanos de la rouille
rage;morsure;rage de la morsure
venin;serpent;venin du serpent
poison;plante;poison de la plante
overdose;drogue;overdose de drogue
coma;accident;coma de l'accident
décès;maladie;décès de la maladie
mort;vieillesse;mort de la vieillesse
